date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2020-06-01,2020,06,01,55.4,38.1,1019.9,10.0,11.1,19,25.1,66.9,48.9,0.0,999.9,0
2020-06-02,2020,06,02,57.1,46.6,1016.0,10.0,7.6,11.1,999.9,62.1,48.9,0.0,999.9,0
2020-06-03,2020,06,03,59.2,56.3,1005.6,9.2,9.8,15,999.9,66.9,53.1,0.05,999.9,1
2020-06-04,2020,06,04,64.4,60.4,1009.3,9.0,8.9,13,999.9,73.9,55.9,0.03,999.9,0
2020-06-05,2020,06,05,60.4,58.9,1013.8,3.9,7.4,11.1,999.9,73.9,59.0,0.0,999.9,1
2020-06-06,2020,06,06,61.2,59.5,1010.2,1.6,9.3,13,999.9,64.9,59.0,0.45,999.9,1
2020-06-07,2020,06,07,62.2,56.2,1007.9,8.8,12.3,18.1,22.9,66.0,57.9,0.01,999.9,1
2020-06-08,2020,06,08,62.6,51.1,1013.8,10.0,7.3,11.1,15.0,73.0,55.9,0.0,999.9,1
2020-06-09,2020,06,09,61.9,55.5,1013.6,10.0,6.5,8.9,999.9,73.0,55.0,0.0,999.9,0
2020-06-10,2020,06,10,60.3,56.9,1016.5,7.0,7.5,12,999.9,72.0,55.9,0.0,999.9,1
2020-06-11,2020,06,11,63.6,60.1,1019.7,6.6,12.7,19,24.1,70.0,57.9,0.0,999.9,1
2020-06-12,2020,06,12,63.1,61.3,1018.6,3.2,7.9,13,999.9,70.0,59.0,0.04,999.9,1
2020-06-13,2020,06,13,62.5,53.1,1019.9,7.3,8.5,14,999.9,70.0,53.1,0.04,999.9,1
2020-06-14,2020,06,14,60.9,51.4,1025.9,10.0,13.3,20,24.1,70.0,53.1,0.0,999.9,0
2020-06-15,2020,06,15,58.3,53.4,1028.5,8.1,15.4,19,25.1,63.0,55.4,0.0,999.9,0
2020-06-16,2020,06,16,59.9,51.5,1028.0,10.0,11.2,18.1,22.0,69.1,51.1,0.0,999.9,0
2020-06-17,2020,06,17,61.2,53.9,1025.2,10.0,8.3,12,999.9,71.1,52.0,0.0,999.9,0
2020-06-18,2020,06,18,59.8,59.4,1023.3,3.7,4.8,8.9,999.9,71.1,53.1,0.0,999.9,1
2020-06-19,2020,06,19,63.9,61.5,1020.5,3.5,7.7,12,999.9,73.0,54.0,0.0,999.9,1
2020-06-20,2020,06,20,64.8,61.5,1018.1,6.6,9.1,15,999.9,73.9,60.1,0.0,999.9,1
2020-06-21,2020,06,21,65.2,62.5,1016.7,5.8,6.3,8.9,999.9,75.9,60.1,0.0,999.9,1
2020-06-22,2020,06,22,68.6,63.4,1014.7,9.7,3.9,8,999.9,75.9,62.1,0.0,999.9,0
2020-06-23,2020,06,23,63.5,61.3,1011.9,2.3,5,11.1,999.9,75.9,59.0,0.0,999.9,1
2020-06-24,2020,06,24,66.4,64.3,1007.8,1.5,9.8,13,999.9,71.1,59.0,0.0,999.9,1
2020-06-25,2020,06,25,67.8,62.5,1013.3,9.1,7.5,13,999.9,77.0,61.0,0.0,999.9,0
2020-06-26,2020,06,26,66.7,61.7,1014.8,9.6,7.8,12,999.9,77.0,61.0,0.0,999.9,0
2020-06-27,2020,06,27,66.6,63.7,1011.2,6.8,7.2,13,999.9,73.0,62.1,0.0,999.9,1
2020-06-28,2020,06,28,68.0,65.1,1007.5,6.9,8,15,20.0,73.0,62.1,0.41,999.9,1
2020-06-29,2020,06,29,67.1,64.7,1008.0,5.5,5.5,14,999.9,73.9,64.9,0.39,999.9,1
2020-06-30,2020,06,30,66.3,62.4,1011.4,7.9,5.6,11.1,999.9,73.9,62.1,0.13,999.9,0
2020-07-01,2020,07,01,64.4,61.5,1011.7,6.0,4.7,9.9,999.9,73.0,60.1,0.0,999.9,1
2020-07-02,2020,07,02,68.2,64.4,1009.2,7.8,7.7,13,999.9,75.0,60.1,0.0,999.9,1
2020-07-03,2020,07,03,69.5,66.2,1008.6,7.0,9.8,18.1,22.9,77.0,64.0,0.0,999.9,1
2020-07-04,2020,07,04,66.1,63.5,1012.1,5.1,8.9,13,999.9,77.0,60.1,0.0,999.9,1
2020-07-05,2020,07,05,63.1,61.0,1015.0,4.4,5,11.1,999.9,73.0,60.1,0.0,999.9,1
2020-07-06,2020,07,06,67.9,64.1,1016.9,6.4,9.1,19,22.9,75.0,60.1,0.0,999.9,1
2020-07-07,2020,07,07,60.1,56.3,1021.9,8.9,7.9,12,999.9,75.0,55.9,0.0,999.9,0
2020-07-08,2020,07,08,68.1,63.9,1018.2,9.9,9.8,13,999.9,73.9,55.9,0.0,999.9,0
2020-07-09,2020,07,09,70.9,67.4,1016.6,8.2,7.7,11.1,999.9,78.1,64.9,0.0,999.9,0
2020-07-10,2020,07,10,69.8,67.9,1016.5,3.8,8.2,15,22.0,78.1,66.0,0.0,999.9,1
2020-07-11,2020,07,11,70.3,68.1,1009.8,3.4,11.2,17.1,22.0,75.9,66.0,0.0,999.9,1
2020-07-12,2020,07,12,71.8,67.5,1006.4,7.0,11.6,15.9,21.0,77.0,66.9,0.0,999.9,1
2020-07-13,2020,07,13,70.3,67.5,1008.7,4.9,8,11.1,999.9,77.0,68.0,0.0,999.9,1
2020-07-14,2020,07,14,72.0,68.0,1011.3,6.2,7.9,15,999.9,79.0,66.9,0.0,999.9,1
2020-07-15,2020,07,15,66.5,60.0,1020.9,9.8,13.9,19,25.1,79.0,62.1,0.0,999.9,0
2020-07-16,2020,07,16,63.6,55.6,1026.1,10.0,8.1,14,22.0,70.0,57.0,0.0,999.9,0
2020-07-17,2020,07,17,62.6,59.0,1023.0,9.9,7.5,12,999.9,71.1,55.0,0.0,999.9,1
2020-07-18,2020,07,18,70.2,67.9,1017.6,3.2,6.2,9.9,999.9,75.9,55.0,0.0,999.9,1
2020-07-19,2020,07,19,69.1,67.5,1015.1,0.8,8.4,12,999.9,72.0,66.2,0.0,999.9,1
2020-07-20,2020,07,20,71.0,69.4,1011.6,2.1,9.5,13,999.9,75.9,66.9,99.99,999.9,1
2020-07-21,2020,07,21,77.6,66.1,1014.3,8.3,8.6,11.1,17.1,88.0,69.1,0.0,999.9,1
2020-07-22,2020,07,22,72.7,68.1,1017.6,7.8,4.6,11.1,999.9,88.0,64.9,0.0,999.9,1
2020-07-23,2020,07,23,74.1,70.9,1016.5,5.7,9.4,14,999.9,82.0,64.9,0.0,999.9,1
2020-07-24,2020,07,24,73.7,69.7,1017.4,7.8,6.3,11.1,15.9,81.0,68.0,99.99,999.9,1
2020-07-25,2020,07,25,69.6,66.7,1018.0,5.5,3.9,11.1,999.9,80.1,60.1,0.0,999.9,1
2020-07-26,2020,07,26,75.1,71.3,1015.3,8.0,12.3,17.1,22.9,82.0,60.1,0.0,999.9,0
2020-07-27,2020,07,27,77.0,69.7,1009.2,7.6,12.3,15.9,20.0,84.9,71.1,0.0,999.9,1
2020-07-28,2020,07,28,76.5,72.1,1008.0,6.6,10.9,14,999.9,84.9,72.0,0.0,999.9,0
2020-07-29,2020,07,29,75.3,67.6,1012.7,7.5,6.3,11.1,999.9,82.9,72.0,99.99,999.9,1
2020-07-30,2020,07,30,74.4,72.0,1011.7,3.7,7.1,13,999.9,82.9,70.0,0.0,999.9,1
2020-07-31,2020,07,31,73.7,70.8,1009.8,6.3,5.1,12,999.9,80.1,71.1,99.99,999.9,1
2020-08-01,2020,08,01,72.6,66.2,1012.6,8.5,5.1,11.1,999.9,82.9,62.1,0.0,999.9,1
2020-08-02,2020,08,02,71.9,66.9,1016.4,8.9,8.4,15,999.9,82.9,62.1,0.0,999.9,1
2020-08-03,2020,08,03,76.1,72.5,1015.8,5.1,12.3,15,19.0,82.0,64.9,0.0,999.9,1
2020-08-04,2020,08,04,74.8,72.4,1016.2,3.4,11.4,24.1,33.0,82.0,72.0,99.99,999.9,1
2020-08-05,2020,08,05,74.8,70.5,1015.9,8.9,11.5,17.1,22.0,81.0,71.1,99.99,999.9,1
2020-08-06,2020,08,06,74.1,61.4,1019.4,6.4,6.7,11.1,999.9,84.9,66.0,0.0,999.9,1
2020-08-07,2020,08,07,69.0,65.6,1020.6,6.5,5.2,12,17.1,84.9,63.0,0.0,999.9,1
2020-08-08,2020,08,08,69.7,66.4,1020.6,5.1,6.1,8.9,999.9,75.9,63.0,0.0,999.9,1
2020-08-09,2020,08,09,71.5,66.9,1019.9,9.3,7,12,999.9,78.1,64.9,0.0,999.9,0
2020-08-10,2020,08,10,74.3,70.7,1017.3,9.8,9.6,15,999.9,80.1,64.9,0.0,999.9,0
2020-08-11,2020,08,11,75.4,71.9,1016.1,7.8,9.1,12,999.9,81.0,70.0,0.0,999.9,0
2020-08-12,2020,08,12,75.3,72.7,1016.6,5.9,9.1,13,999.9,81.0,71.1,0.0,999.9,1
2020-08-13,2020,08,13,77.0,72.0,1018.3,4.1,6.8,13,999.9,86.0,71.1,0.0,999.9,1
2020-08-14,2020,08,14,74.6,64.8,1016.8,9.7,6.1,15,999.9,86.0,69.1,0.0,999.9,0
2020-08-15,2020,08,15,70.4,66.5,1015.3,7.3,13.9,21,25.1,84.9,66.9,0.0,999.9,1
2020-08-16,2020,08,16,66.6,63.7,1015.6,7.6,12.5,19,27.0,75.9,64.0,0.01,999.9,1
2020-08-17,2020,08,17,66.0,61.1,1010.3,7.5,16.8,26,35.9,71.1,62.1,0.82,999.9,1
2020-08-18,2020,08,18,68.3,62.8,1010.9,9.6,8.5,15.9,22.0,75.9,57.9,0.42,999.9,1
2020-08-19,2020,08,19,70.4,62.6,1012.9,8.8,5.8,11.1,19.0,78.1,62.6,0.0,999.9,1
2020-08-20,2020,08,20,68.4,59.9,1016.1,10.0,6.2,9.9,999.9,81.0,61.0,0.0,999.9,0
2020-08-21,2020,08,21,69.1,63.5,1015.1,10.0,8.7,15,999.9,77.0,61.0,0.0,999.9,0
2020-08-22,2020,08,22,72.3,67.6,1013.3,9.7,8.3,12,999.9,81.0,61.0,0.0,999.9,0
2020-08-23,2020,08,23,72.3,68.9,1017.0,8.1,7,11.1,999.9,81.0,66.0,0.0,999.9,1
2020-08-24,2020,08,24,71.7,70.0,1016.1,2.3,5.9,8.9,999.9,80.1,66.0,0.0,999.9,1
2020-08-25,2020,08,25,74.2,70.5,1007.6,5.9,10.1,17.1,22.0,81.0,68.0,0.0,999.9,1
2020-08-26,2020,08,26,70.3,52.8,1009.4,10.0,14.2,20,28.0,81.0,64.9,0.0,999.9,0
2020-08-27,2020,08,27,66.9,53.6,1008.8,9.9,6.4,11.1,999.9,73.0,63.0,0.0,999.9,1
2020-08-28,2020,08,28,70.6,65.3,1008.2,9.9,6.9,12,999.9,78.1,63.0,0.05,999.9,0
2020-08-29,2020,08,29,70.8,68.6,1006.3,5.4,9.8,15.9,24.1,78.1,66.9,0.0,999.9,1
2020-08-30,2020,08,30,72.0,61.6,1002.8,9.0,13.1,21,29.9,75.9,66.9,0.33,999.9,0
2020-08-31,2020,08,31,67.0,52.0,1017.3,10.0,7.4,14,18.1,75.9,60.1,0.0,999.9,0
2020-09-01,2020,09,01,65.7,57.5,1022.2,10.0,9.9,15.9,21.0,73.0,60.1,0.0,999.9,0
